Assignment,Due Date,Points Possible,Score,Grade
"Language background","",0,,""
"Assignment 1: group 1 (teacher: Anna Martonfi)","4/11/2025",10,,""
"Assignment 1: groups 2 and 6 (teacher: Eilidh Webster)","4/11/2025",10,,""
"Assignment 1: group 3 (teacher: Alison McRae)","4/11/2025",10,,""
"Assignment 1: groups 4 and 7 (teacher: Adam Frick)","4/11/2025",10,,""
"Assignment 1: groups 5, 9 and 10 (teacher: Alessandro Cangelli)","4/11/2025",10,10,"complete"
"Assignment 1: group 8 (teacher: Paul Robertson)","4/11/2025",10,,""
"Assignment 2: group 1 (teacher: Anna Martonfi)","4/25/2025",10,0,"0"
"Assignment 2: groups 2 and 6 (teacher: Eilidh Webster)","4/25/2025",10,0,"0"
"Assignment 2: group 3 (teacher: Alison McRae)","4/25/2025",10,0,"0"
"Assignment 2: groups 4 and 7 (teacher: Adam Frick)","4/25/2025",10,0,"0"
"Assignment 2: groups 5, 9 and 10 (teacher: Alessandro Cangelli)","4/25/2025",10,6,"6"
"Assignment 2: group 8 (teacher: Paul Robertson)","4/25/2025",10,0,"0"
"Assignment 2 resit: all groups","5/16/2025",10,,""
"Assignment 3: group 1 (teacher: Anna Martonfi)","5/9/2025",10,,""
"Assignment 3: groups 2 and 6 (teacher: Eilidh Webster) ","5/9/2025",10,,""
"Assignment 3: group 3 (teacher: Alison McRae) ","5/9/2025",10,,""
"Assignment 3: groups 4 and 7 (teacher: Adam Frick) ","5/9/2025",10,,""
"Assignment 3: groups 5, 9 and 10 (teacher: Alessandro Cangelli) ","5/9/2025",10,10,"complete"
"Assignment 3: group 8 (teacher: Paul Robertson) ","5/9/2025",10,,""
"Assignment 4: group 1 (teacher: Anna Martonfi)","5/23/2025",10,0,"0"
"Assignment 4: groups 2 and 6 (teacher: Eilidh Webster)","5/23/2025",10,0,"0"
"Assignment 4: group 3 (teacher: Alison McRae)","5/23/2025",10,0,"0"
"Assignment 4: groups 4 and 7 (teacher: Adam Frick)","5/23/2025",10,0,"0"
"Assignment 4: groups 5, 9 and 10 (teacher: Alessandro Cangelli)","5/23/2025",10,6,"6"
"Assignment 4: group 8 (teacher: Paul Robertson)","5/23/2025",10,0,"0"
"In-class writing activity","4/4/2025",0,,""
"Assignment 4 Resit: All groups","6/27/2025",10,,""
