Assignment,Due Date,Points Possible,Score,Grade
"Week 1 submission (team) - Project Proposal","6/5/2025",0,0,"complete"
"Course Rules & Project Objectives Quiz (individual)","6/3/2025",15,14,"14"
"Upload GitHub user name (individual)","6/3/2025",0,,""
"GH Activity","",10,8.78216927947986,"8.78216927947986"
"quizzes","",10,8.359375,"8.359375"
"participation","",10,9.08,"9.08"
"final_grade_adj","",10,9.235999999999999,"9.235999999999999"
"Attendance","",10,10,"10"
"Submission - Project Backend & Tests","6/18/2025",105,91,"91"
"API Lecture quiz","6/13/2025",17,12.75,"12.75"
"Personal Profile Page (In-Class Exercise)","6/27/2025",0,,""
"Submission - GenAI Frontend","6/22/2025",10,,""
"GenAI Report","6/22/2025",10,8.7,"8.7"
"Individual Frontend","",100,95,"95"
"Coding Interview (individual)","",10,10,"complete"
"Submission (individual) - Peer Review","6/27/2025",1,,""
"Rubric Communication Backend-frontend (Group)","",100,100,"100"
"Final Demo Session","",10,9.4,"9.4"
