Assignment,Due Date,Points Possible,Score,Grade
"Quiz week 1: what is dynamic modelling?","",10,4,"4"
"Quiz week 2: modelling social processes","",10,8,"8"
"Quiz week 3: modelling behaviour","",10,10,"complete"
"Quiz week 5: agent-based modelling","",10,1.9,"1.9"
"Assignment 1: Formulating and validating statements and adapting models","2/10/2025",100,96,"96"
"Assignment 2: Performing simulations with existing models and making a formalization","2/17/2025",100,93,"93"
"Assignment 4: Designing and implementing a domain model","3/4/2025",100,95,"95"
"Assignment 5: Developing an analysis model","3/10/2025",100,70,"70"
"Assignment 3: L2-Python tutorial","3/3/2025",1,1,"complete"
"Penalty for late submission assignment 3","",5,,""
"Conceptual model for final assignment","3/12/2025",0,,""
"Final assignment","3/31/2025",100,90,"90"
"Exam","3/27/2025",10,6.4,"6.4"
"Resit exam","6/4/2025",10,,""
