Assignment,Due Date,Points Possible,Score,Grade
"Do you remember?","4/4/2025",10,6.2,"6.2"
"Assignment 1","4/2/2025",10,8,"8"
"Quiz 1: Creating Computers","4/7/2025",10,,""
"Assignment 2","4/9/2025",10,9,"9"
"Quiz 2: Sound of software","4/14/2025",10,,""
"Assignment 3","4/16/2025",10,9,"9"
"Quiz 3: Computing Crisis","4/23/2025",10,,""
"Assignment 4","4/24/2025",10,7,"7"
"Quiz 4: Dream machines","5/7/2025",10,,""
"Assignment 5","5/7/2025",10,8,"8"
"Quiz 5: Getting personal","5/12/2025",10,,""
"Assignment 6","5/14/2025",10,8,"8"
"Quiz 6: Digital divide","5/19/2025",10,,""
"Campbell-Kelly - Computer","",10,3.916666666666667,"3.9166666666666665"
"Final grade (exam)","",10,6,"6"
"Final grade (resit)","",10,,""
"Bonus","",1,1,"1"
"Exam prep","5/19/2025",10,,""
