Assignment,Due Date,Points Possible,Score,Grade
"Exam Grade","",10,6.2,"6.2"
"Final project report - Deadline May 30th","5/30/2025",100,91,"91"
"Resit Exam Grade","",10,7.9,"7.9"
"Has Passed Attendance","",0,1,"1"
"Has Passed Assignments","",0,1,"1"
"Has Passed Exam or Resit","",0,1,"1"
"Has Passed Final Report","",0,1,"1"
"Best Exam Grade","",0,7.9,"7.9"
"Report Grade out of 10","",0,9.1,"9.1"
"Late Submissions Penalty","",0,0,"0"
"Resit Submissions Penalty","",0,0,"0"
"Final Course Grade before Rounding","",0,8.5,"8.5"
"Final Course Grade after Rounding","",0,8.5,"8.5"
"Assignment 1 - Deadline April 11, 23:59","4/11/2025",1,1,"complete"
"Assignment 2 - Deadline April 18, 23:59","4/18/2025",1,1,"complete"
"Resit submission for Assignment 1 - Deadline May 2nd (Fri)","5/2/2025",1,,""
"Resit submission for Assignment 2 - Deadline May 2nd (Fri)","5/2/2025",1,,""
"Assignment 3 - Deadline May 9, 23:59","5/9/2025",1,1,"complete"
"Assignment 4 - Deadline May 19 23:59","5/19/2025",1,1,"complete"
