Assignment,Due Date,Points Possible,Score,Grade
"Resit","",10,,""
"Bonus Point","",0.5,0.5,"0.5"
"Mini Quiz (Module 1) ","",0,,""
"Practical Assignment 1: Intro (txt) ","11/5/2024",1,1,"1"
"Practical Assignment 1: Intro (NOTEBOOK)","11/5/2024",0,,""
"Practical Assignment 2: Uninformed Search  (txt) ","11/8/2024",1,0,"0"
"Practical Assignment 2: Uninformed Search  (NOTEBOOK) ","11/8/2024",0,,""
"Practical Assignment 3: Informed Search (txt)","11/12/2024",1,1,"1"
"Practical Assignment 3: Informed Search (NOTEBOOK ipynb)","11/12/2024",0,,""
"Practical Assignment 4:Intro to the Schnapsen Engine (.txt)","11/15/2024",1,1,"1"
"Practical Assignment 4:Intro to the Schnapsen Engine (NOTEBOOK ipynb) ","11/15/2024",0,,""
"Practical Assignment 5: Adversarial Search (.txt) ","11/19/2024",1,1,"1"
"Practical Assignment 5: Adversarial Search (NOTEBOOK ipynb)","11/19/2024",0,,""
"Practical Assignment 6: Knowledge Representation 1 (txt)","11/26/2024",1,1,"1"
"Practical Assignment 6: Knowledge Representation 1 (NOTEBOOK ipynb)","11/26/2024",0,,""
"Practical Assignment 7: Knowledge Representation 2 (txt)","11/29/2024",1,1,"1"
"Practical Assignment 7: Knowledge Representation 2 (NOTEBOOK ipynb)","11/29/2024",0,,""
"Practical Assignment 8: Uncertainty (txt)","12/3/2024",1,1,"1"
"Practical Assignment 8: Uncertainty (NOTEBOOK ipynb)","12/3/2024",0,,""
"Practical Assignment 9: Probability-based Bots (txt) ","12/6/2024",1,1,"1"
"Practical Assignment 9: Probability-based Bots (NOTEBOOK ipynb)","12/6/2024",0,,""
"Practical Assignment 10: Machine Learning Basics  (txt) ","12/10/2024",1,1,"1"
"Practical Assignment 10: Machine Learning Basics  (NOTEBOOK ipynb)","12/10/2024",0,,""
"Practical Assignment 11: Machine Learning for Schnapsen  (txt) ","12/17/2024",1,1,"1"
"Practical Assignment 11: Machine Learning for Schnapsen  (NOTEBOOK ipynb)","12/17/2024",0,,""
"Practise exam for the midterm","",0,,""
"Second practice exam for the midterm","",0,,""
"Resit exam ","",10,,""
"First Partial Exam","",10,7.1,"7.1"
"Second Partial Exam ","",10,6,"6"
"Practice exam for the second partial exam","",0,,""
