Assignment,Due Date,Points Possible,Score,Grade
"Research Problem (groups assignment) ","9/13/2024",10,9,"9"
"Literature (group assignment) ","9/20/2024",10,10,"10"
"Approach (group assignment) ","9/27/2024",10,8.5,"8.5"
"Experimental Evaluation (group assignment) ","10/4/2024",10,8,"8"
"Final report (group assignment) ","10/31/2024",10,8.5,"8.5"
"Poster (group assignment) ","10/11/2024",9,7.5,"7.5"
"Video (group assignment) ","10/13/2024",15,15,"15"
"Basics of Computer","9/30/2024",2,2,"2"
"Exam Grade","",10,8.8,"8.8"
"Diversity","9/10/2024",2,2,"2"
"Group Working Exercise","9/13/2024",0,0,"complete"
