Assignment,Due Date,Points Possible,Score,Grade
"Exercise 1","9/17/2024",10,10,"10"
"Exercise 2","9/24/2024",10,10,"10"
"Exercise 3","10/8/2024",10,10,"10"
"Exercise 4","10/15/2024",10,10,"10"
"Exercise 5","10/29/2024",10,10,"10"
"Exercise 6","11/14/2024",10,10,"10"
"Exercise 7","11/21/2024",10,10,"10"
"Exercise 8","11/28/2024",10,8,"8"
"Exercise 9","12/5/2024",0,,""
"midterm_exam","",100,50,"50"
"mc_midterm","",10,7,"7"
"final_exam","",110,56,"56"
"Assignments Grade","",10,9.74,"9.74"
"final_exam_bonus","",10.4,6,"6"
"final_grade_bonus","",10,6.12,"6.12"
"resit_grade","",10,,""
"final_grade_resit","",10,,""
"Exercise 1 [after deadline]","",0,,""
"Exercise 2 [after deadline]","",0,,""
"Exercise 3 [after deadline]","",0,,""
"Exercise 4 [After deadline]","",0,,""
"Exercise 5 [After deadline]","",0,,""
"Exercise 6 [After deadline]","",0,,""
"Exercise 7 [After deadline]","",0,,""
"Exercise 8 [After deadline]","",0,,""
"Exercise 9 [After deadline]","",0,,""
"Assignment_0","9/10/2024",0,,""
"Assignment 1","10/2/2024",100,95.2,"95.2"
"Assignment 2- PRACTICE ONLY","",0,,""
"Assignment 2","11/24/2024",100,100,"100"
"Assignment 3","12/6/2024",100,97,"97"
"Midterm Retake Opportunity","",0,0,"complete"
"Midterm Extra Assignment","11/29/2024",0,,""
"Empty Midterm ","11/29/2024",0,,""
