Assignment,Due Date,Points Possible,Score,Grade
"New Final grade after second resit","",10,,""
"Quiz 1 (Formal Systems) - pass this to continue to Module 2","",10,6,"6"
"Quiz 2 - Linked Data, RDF and SPARQL ","",10,7.75,"7.75"
"Quiz 3: Inferencing, RDFS and Triplestores ","",10,8,"8"
"Quiz 4: OWL, and expressive reasoning","",10,8.75,"8.75"
"Quiz 5 - Data Integration and Querying","",10,6.583333333333334,"6.583333333333334"
"Practical assignment 1 (Manipulating formal systems: PL and Knowledge Graphs)","9/8/2025",100,100,"100"
"Practical assignment 2 (Manipulating Linked Data with Python)","9/15/2025",100,70,"70"
"Practical assignment 3 (Quering and Inferencing over Linked Data)","9/23/2025",100,75,"75"
" Practical assignment 4 (Modelling in OWL)","9/29/2025",100,50,"50"
"Practical Assignment 5 (Data Integration and Visualization)","10/6/2025",100,74,"74"
"Rounded Grade Assignments (counts 33%)","",10,7,"7"
"Final Project Milestone and Pitch","10/10/2025",10,10,"10"
"Final Project Report","10/27/2025",100,69,"69"
"Rounded grade Group Project (33%)","",10,7,"7"
"Final group project rest","",10,,""
"Rounded Grade Exam (33%)","",10,7.5,"7.5"
"Exam resit","",0,,""
"Exam Extra Resit","",0,,""
"Final grade ","",10,7,"7"
"New Final grade (after resit)","",0,,""
"DUPLICATE Practical Assignment 5 (Data Integration and Visualization)","10/6/2025",100,,""
"Quiz 5 - Data Integration and Querying","",10,0,"0"
